,episode reward,episode,Method
0,-0.5,1,PPO
1,-0.5,2,PPO
2,-0.5,3,PPO
3,0.071428571,4,PPO
4,-0.055555556,5,PPO
5,0.2272727269999999,6,PPO
6,0.409090909,7,PPO
7,0.772727273,8,PPO
8,0.954545455,9,PPO
9,1.136363636,10,PPO
10,1.5,11,PPO
11,1.863636364,12,PPO
12,2.954545455,13,PPO
13,3.5,14,PPO
1000,-0.5,1,Add body info
1001,-0.5,2,Add body info
1002,-0.5,3,Add body info
1003,-0.214285714,4,Add body info
1004,-0.055555556,5,Add body info
1005,-0.1363636359999999,6,Add body info
1006,-0.1363636359999999,7,Add body info
1007,-0.1363636359999999,8,Add body info
1008,0.045454545,9,Add body info
1009,0.045454545,10,Add body info
1010,0.2272727269999999,11,Add body info
1011,0.2272727269999999,12,Add body info
1012,0.409090909,13,Add body info
1013,0.409090909,14,Add body info
1014,0.590909091,15,Add body info
1015,0.590909091,16,Add body info
1016,0.772727273,17,Add body info
1017,0.772727273,18,Add body info
1018,1.136363636,19,Add body info
1019,1.136363636,20,Add body info
1020,1.318181818,21,Add body info
1021,1.318181818,22,Add body info
1022,1.5,23,Add body info
1023,1.5,24,Add body info

500,1.5,1,Add direction
501,0.166666667,2,Add direction
502,-0.1,3,Add direction
503,-0.214285714,4,Add direction
504,-0.277777778,5,Add direction
505,-0.1363636359999999,6,Add direction
506,-0.318181818,7,Add direction
507,-0.1363636359999999,8,Add direction
508,0.2272727269999999,9,Add direction
509,0.2272727269999999,10,Add direction
510,0.2272727269999999,11,Add direction
511,0.590909091,12,Add direction
512,0.772727273,13,Add direction
513,1.6818181819999998,14,Add direction
514,2.045454545,15,Add direction
515,2.045454545,16,Add direction
516,2.045454545,17,Add direction
517,2.227272727,18,Add direction
518,2.045454545,19,Add direction
519,2.045454545,20,Add direction
520,3.1363636360000005,21,Add direction
521,4.045454545,22,Add direction
522,4.227272727,23,Add direction
523,4.409090909,24,Add direction
