,0,1,2,3,4,5,6,7
None,-2.8549497993351096,-2.8971104601982516,-2.5157740782131337,24.519149334781076,-2.739455759064039,-2.9607181602193116,-2.574778369143303,-2.7994889741765543
"[15.0, 15.0, 65.0, 65.0]",-4.010439935338388,-3.994594697882052,-4.010439935338388,5.7340257501531315,-4.010439935338388,-4.010439935338388,-4.010439935338388,-3.9793502965534255
"[95.0, 15.0, 145.0, 65.0]",-1.3497719436115898,-3.673727473853385,-3.7086847176484157,28.354623463136186,-3.63613864135216,-3.7591080754838675,-3.638145139361288,-3.6260236683708453
"[95.0, 95.0, 145.0, 145.0]",-3.674988805618085,-10.0,-3.6427332909844337,-3.629311442666269,-3.6661007927590665,-10.0,-2.1170112569944575,-27.1
"[15.0, 95.0, 65.0, 145.0]",-3.8540280966180838,-10.0,-3.8888276046713472,-3.8039951052144105,-3.8888276046713472,-3.8888276046713472,-3.8445057406209924,-10.0
finished,0,0,0,0,0,0,0,0
"[175.0, 95.0, 225.0, 145.0]",-3.282433710857639,-10.0,-3.3589530049521072,-10.0,-3.335086983444448,-10.0,-2.8162423611950023,-19.0
"[175.0, 15.0, 225.0, 65.0]",-3.300005120122806,-3.2883623316657613,-3.291453527012391,32.61625236253168,-3.3102824143031953,-3.3247764285889163,-3.3102824143031953,-10.0
"[255.0, 15.0, 305.0, 65.0]",-2.822694674017249,-19.0,-1.0437608567230545,-2.8108011780966966,0.7258474647112192,-2.82777331825699,-2.822694674017249,37.35139273609823
"[335.0, 95.0, 385.0, 145.0]",-2.2800679486969626,-2.1949204279517978,-19.0,-2.2962775350567997,-2.2967694492807547,-10.0,-2.2836466449729653,42.612658920178916
"[335.0, 15.0, 385.0, 65.0]",-2.376572856528963,-2.3734562755196547,-2.4165823635353805,-2.089178434912414,-2.376572856528963,-10.0,-2.376572856528963,-2.335849220506322
"[415.0, 95.0, 465.0, 145.0]",-2.067148925842412,-2.0110591534541644,-2.0490967025167106,-2.020009348672115,-2.0686160784242316,-2.0269755876691895,-2.065256290046941,0.7752302486914304
"[495.0, 15.0, 545.0, 65.0]",-2.0565696127494535,-2.0637294170084415,-2.051599230108268,-2.0565696127494535,-2.0638571635634455,-2.0655647641042587,-2.0638571635634455,-2.0565696127494535
"[415.0, 15.0, 465.0, 65.0]",-2.143218591927811,-2.1868539921424044,-2.181891686155889,-2.16039363095465,-2.131916249794268,5.313752715767207,-2.143218591927811,-2.1422667219104117
"[495.0, 95.0, 545.0, 145.0]",-1.9332366099822516,-1.9801515332465283,-1.9514224633831703,-1.9836941046095409,-2.0210735418175516,-1.9600263476401576,-1.9836941046095409,-1.9836941046095409
"[335.0, 175.0, 385.0, 225.0]",-1.8363560264773517,-1.8426001132809477,-10.0,-1.8231068751870847,-10.0,-10.0,-1.8880251388316525,4.943922628678532
"[335.0, 255.0, 385.0, 305.0]",-1.6276605171248888,-10.0,-10.0,-1.5695785588409326,-10.0,-10.0,-1.5491840869408813,4.560354821273161
"[415.0, 175.0, 465.0, 225.0]",-1.7541787926116574,48.458509985211535,-1.8347476783693242,-0.570500524485104,-1.821450275507302,-1.7690779730618413,-1.8219566429994078,-1.7721864878328069
"[495.0, 175.0, 545.0, 225.0]",-1.7477447465378877,-1.7485967817767658,-1.7494173995841416,-1.8067396924133055,-1.8137207816896164,19.5237988898005,-1.7383137616441333,-1.7383137616441333
"[495.0, 255.0, 545.0, 305.0]",-1.5316911386931806,-1.5057846748496755,-1.4995235000915903,-1.485422289051244,-1.5194562283090185,-0.5646329341485341,-1.485422289051244,-1.485422289051244
"[495.0, 335.0, 545.0, 385.0]",-1.3260627040408042,-1.3585297709729491,11.508269769144333,-1.3994164535871152,-1.3619033817200847,-1.3803359177558312,-1.3994164535871152,-1.3994164535871152
"[495.0, 415.0, 545.0, 465.0]",-1.2301985439745713,-1.2523428020191036,-1.1974629504380294,-1.2247897700103205,-1.2006984041209814,-1.2121390489146247,-1.2167317257219916,-1.2247897700103205
"[415.0, 495.0, 465.0, 545.0]",-1.0737672970133219,-1.0466174574128357,-1.0475646708453663,-1.0838881210912374,8.628485990470557,-1.0466174574128357,-1.0239949362290146,-1.0466174574128357
"[335.0, 415.0, 385.0, 465.0]",-10.0,-0.8409117363076445,-10.0,-1.0352366048991746,-10.0,70.18999999996382,-0.9085014967653628,-0.6840233781415905
"[335.0, 495.0, 385.0, 545.0]",-0.8748027691048559,-0.8564389370324282,6.535474207316691,-0.8219998995678767,-10.0,-0.8648275251635912,-0.8658473934272811,-0.8648275251635912
"[255.0, 495.0, 305.0, 545.0]",-10.0,6.535632677263116,79.09999999999654,-0.5485035398137471,1.805180289412224,-0.490099501,-0.4583289148615405,-0.490099501
"[175.0, 495.0, 225.0, 545.0]",-0.1,-0.199,-0.19,-0.11710000000000001,88.99999999999979,-0.199,-10.0,-0.199
"[95.0, 415.0, 145.0, 465.0]",0,0,1.6100000000000003,0,-0.1,99.99999999999994,0,7.909997628614545
"[415.0, 255.0, 465.0, 305.0]",2.4009750244039063,54.953899997668806,-1.5602858668593371,-1.5633357266186547,-1.5501078729584252,-10.0,-1.5504264531590073,-0.959906297345672
"[415.0, 335.0, 465.0, 385.0]",-1.278853945696051,-1.2615986357729148,-10.0,-1.1581651324291973,-1.302300281780377,62.17099999968109,-1.2401702419853897,-1.317792288203132
"[415.0, 415.0, 465.0, 465.0]",-1.1410061886590421,-1.0981184794360033,5.111763621757314,-1.1734492592700874,-10.0,-1.0848399633439298,-1.1693681839675931,-1.1310945102264176
"[495.0, 495.0, 545.0, 545.0]",-1.1685598914984223,-1.1361512828387075,-1.1951258480570297,-1.1361512828387075,-1.1203209503801135,-1.1361512828387075,-1.1361512828387075,-1.1361512828387075
"[175.0, 415.0, 225.0, 465.0]",-10.0,-0.1,24.70219900206111,-10.0,-0.1,-0.1,-10.0,-0.11791000000000001
"[95.0, 495.0, 145.0, 545.0]",0,-0.1,0,-0.1,0.8,0,-0.1,-0.1
"[95.0, 335.0, 145.0, 385.0]",-0.1,0,-0.1,0,0,-0.1,0,0
"[95.0, 255.0, 145.0, 305.0]",0,-0.1,0,0,0,-0.1,0,0
"[15.0, 415.0, 65.0, 465.0]",0,27.1,0,0,-0.1,0,-0.1,0
"[15.0, 335.0, 65.0, 385.0]",-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,0
"[15.0, 255.0, 65.0, 305.0]",0,0,0,0,0,0,-10.0,0
